Common,Species,Sex,Human,AdultSampleDefinition,RSDefinition,MatingSystem,Monogamous,NonHumanPrimate,N,K,Mean,B,SD,Var,CV,I,Source,Ref,File
brown-throated sloth,Bradypus variegatus,M,0,NA,NA,NA,0,0,19,20,1.1,NA,2.46,6.05,NA,NA,Unexpected strong polygyny in the brown-throated three-toed sloth,https://dx.doi.org/10.1371%2Fjournal.pone.0051389,NA
Eurasian beaver,Castor fiber,M,0,NA,NA,NA,1,0,15,51,3.4,NA,2.95,8.69,NA,NA,Almost faithful: SNP markers reveal low levels of extra-pair paternity in the Eurasian beavers,https://doi.org/10.7287/peerj.preprints.27866v1,NA
Eurasian beaver,Castor fiber,M,0,NA,NA,NA,1,0,19,74,4.7,NA,2.71,7.32,NA,NA,Almost faithful: SNP markers reveal low levels of extra-pair paternity in the Eurasian beavers,https://doi.org/10.7287/peerj.preprints.27866v1,NA
white rhinocero,Ceratotherium simum,M,0,NA,NA,NA,0,0,14,151,75.5,0.02,4.39,19.27,NA,NA,"Mate choice, reproductive success and inbreeding in white rhinoceros: New insights for conservation management",https://doi.org/10.1111/eva.12894,NA
vervet monkey,Chlorocebus pygerythrus,M,0,NA,NA,NA,0,1,13,23,1.8,0.0865,1.48,2.19,NA,NA,"Assessment of Male Reproductive Skew via Highly Polymorphic STR Markers in Wild Vervet Monkeys,Â Chlorocebus pygerythrus",https://doi.org/10.1093/jhered/esy048,NA
vervet monkey,Chlorocebus pygerythrus,M,0,NA,NA,NA,0,1,23,43,1.9,0.0727,1.97,3.87,NA,NA,"Assessment of Male Reproductive Skew via Highly Polymorphic STR Markers in Wild Vervet Monkeys,Â Chlorocebus pygerythrus",https://doi.org/10.1093/jhered/esy048,NA
vervet monkey,Chlorocebus pygerythrus,M,0,NA,NA,NA,0,1,19,45,2.4,0.0168,1.75,3.05,NA,NA,"Assessment of Male Reproductive Skew via Highly Polymorphic STR Markers in Wild Vervet Monkeys,Â Chlorocebus pygerythrus",https://doi.org/10.1093/jhered/esy048,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,6,9,1.5,NA,3.67,13.5,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,13,17,1.3,NA,4.54,20.64,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,6,10,1.7,NA,4.08,16.67,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,14,18,1.3,NA,4.81,23.14,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,7,13,1.9,NA,3.18,10.14,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,10,16,1.6,NA,5.06,25.6,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,7,14,2,NA,5.29,28,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,13,21,1.6,NA,5.82,33.92,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,8,16,2,NA,5.66,32,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,14,26,1.9,NA,6.95,48.29,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,4,18,4.5,NA,5.2,27,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,26,39,1.5,NA,5.3,28.1,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,24,44,1.8,NA,6.21,38.58,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
Damaraland mole rat,Fukomys damarensis,M,0,NA,NA,NA,1,0,22,49,2.2,NA,10.45,109.14,NA,NA,Colony structure and parentage in wild colonies of co-operatively breeding Damaraland mole-rats suggest incest avoidance alone may not maintain reproductive skew,https://doi.org/10.1111/j.1365-294X.2004.02233.x,NA
feral cat,Felis catus,M,0,NA,NA,NA,0,0,14,34,2.5,NA,4.05,16.42,NA,NA,Male Reproductive Success in a Social Group of Urban Feral Cats (Felis catus L.),http://dx.doi.org/10.1111/j.1439-0310.2006.01320.x,NA
African wild dog,Lycaon pictus,M,0,NA,NA,NA,1,0,14,20,1.4,NA,3.99,15.96,NA,NA,Genetic verification of multiple paternity in two free-ranging isolated populations of African wild dogs (Lycaon pictus),http://hdl.handle.net/2263/24318,NA
crested macaque,Macaca nigra,M,0,NA,NA,NA,0,1,7,7,1,0.508,2.61,6.81,NA,NA,"Female fertile phase synchrony, and male mating and reproductive skew, in the crested macaque",https://doi.org/10.1038/s41598-021-81163-1,NA
crested macaque,Macaca nigra,M,0,NA,NA,NA,0,1,10,7,0.7,0.508,1.89,3.57,NA,NA,"Female fertile phase synchrony, and male mating and reproductive skew, in the crested macaque",https://doi.org/10.1038/s41598-021-81163-1,NA
ringtailed coati,Nasua nasua,M,0,NA,NA,NA,0,0,11,49,4.5,NA,8.71,75.87,NA,NA,Familiarity breeds progeny: sociality increases reproductive success in adult male ring-tailed coatis (Nasua nasua),https://doi.org/10.1111/j.1365-294X.2010.04940.x,NA
white-tailed deer,Odocoileus virginianus,M,0,NA,NA,NA,0,0,17,67,3.9,NA,2.56,6.56,NA,NA,Paternity assignment for white-tailed deer (Odocoileus virginianus): Mating across age classes and multiple paternity,https://doi.org/10.1644/1545-1542(2004)085%3C0356:PAFWDO%3E2.0.CO;2,NA
killer whale (Southern resident),Orcinus orca,M,0,NA,NA,NA,0,0,17,62,3.7,NA,2.71,7.37,NA,NA,Inbreeding in an endangered killer whale population,https://doi.org/10.1111/acv.12413,NA
rock wallaby,Petrogale penicillata,M,0,NA,NA,NA,1,0,12,66,5.5,NA,11.09,122.88,NA,NA,Restricted mating dispersal and strong breeding group structure in a mid-sized marsupial mammal (Petrogale penicillata),https://doi.org/10.1111/j.1365-294X.2006.02985.x,NA
koala,Phascolarctos cinereus,M,0,NA,NA,NA,0,0,35,NA,0.2,NA,0.41,0.1681,NA,NA,Body size and sexual selection in the koala,https://doi.org/10.1007/s00265-010-1136-4,NA
Atlantic spotted dolphin,Stenella frontalis,M,0,NA,NA,NA,0,0,55,10,0.2,NA,0.51,0.26,NA,NA,Reproductive success of male Atlantic spotted dolphins (Stenella frontalis) revealed by noninvasive genetic analysis of paternity,https://doi.org/10.1139/Z10-111,NA
yellow-pine chipmunk,Tamias amoenus,M,0,NA,NA,NA,0,0,63,78,1.2,NA,1.24,1.54,NA,NA,Sexual selection and mating patterns in a mammal with female-biased sexual size dimorphism,https://doi.org/10.1093/beheco/arh021,NA
Eastern chipmunk,Tamias striatus,M,0,NA,NA,NA,0,0,163,122,0.8,NA,1.3,1.69,NA,NA,Bateman gradients in a promiscuous mating system,https://doi.org/10.1007/s00265-012-1364-x,NA
bottlenose dolphin,Tursiops truncatus,M,0,NA,NA,NA,0,0,28,33,1.2,NA,0.61,0.37,NA,NA,"O father: where art thou? Paternity assessment in an open fission-fusion society of wild bottlenose dolphins (Tursiops sp.) in Shark Bay, Western Australia",https://doi.org/10.1111/j.1365-294X.2004.02192.x,NA
