ageraw,rs,age
25,0,25
25,0,25
25,0,25
25,0,25
25,0,25
25,0,25
24.87832991,0,25
25,0,25
25,0,25
25,0,25
25,0,25
25,0,25
25,0,25
24.96714579,0,25
25,0,25
25,0,25
25,0,25
24.56687201,0,25
25,0,25
25,0,25
25,0,25
25,0,25
25.21442847,0,25
25,0,25
25,0,25
25,0,25
25.45341547,0,25
25,0,25
25.00821355,0,25
25,0,25
25,1,25
25.013889,1,25
25,1,25
25,1,25
25.29921971,1,25
24.95619439,1,25
24.89902806,1,25
25.11192334,1,25
25.12706366,1,25
25.0054757,1,25
25.27192334,1,25
24.75271732,1,25
24.52459959,2,25
24.77744011,2,25
25.23359343,2,25
24.71322382,2,25
26.06023272,0,26
26,0,26
26,0,26
26.09429158,0,26
25.94130048,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26.00273785,0,26
26,0,26
26.12167009,0,26
25.86733744,0,26
26,0,26
26,0,26
26.35364819,0,26
26,0,26
26,0,26
25.61735797,0,26
26,0,26
26,0,26
26.37837098,0,26
26.00273785,0,26
26,0,26
25.82510609,0,26
26,0,26
26.31025325,0,26
25.63926078,0,26
25.53127995,0,26
25.66398357,0,26
26,0,26
26.17215606,0,26
26,0,26
26,0,26
25.79378508,0,26
26,0,26
26,0,26
26,0,26
25.5394935,0,26
26,0,26
26,0,26
25.96984257,0,26
26.02584531,0,26
26.23512663,0,26
26.37828884,0,26
26,0,26
26,0,26
26.11345654,0,26
26,0,26
25.65021218,0,26
26,0,26
26,0,26
25.57508556,0,26
26.18576318,0,26
26,0,26
26,0,26
26,0,26
26.11345654,0,26
26.20501027,0,26
25.77735797,0,26
26,0,26
26,0,26
26.33722108,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
25.72413415,0,26
26,0,26
25.64353183,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26,0,26
26.00004107,1,26
25.64361396,1,26
26.10798084,1,26
25.53127995,1,26
25.95772758,1,26
25.52733744,1,26
26.1310883,1,26
26.20065708,1,26
26.34978782,1,26
26.38102669,1,26
26.20501027,1,26
26.3184668,1,26
26.19679671,1,26
26.37007529,1,26
26.20895277,2,26
26,2,26
26.06143737,2,26
26.23085558,2,26
26.13921971,2,26
26.25823409,2,26
26.09155373,2,26
26.14477755,2,26
26.45619439,2,26
26,3,26
27.21869952,0,27
27,0,27
27,0,27
27,0,27
27.19679671,0,27
27,0,27
27.24180698,0,27
27,0,27
27.35252567,0,27
27,0,27
27,0,27
27.36733744,0,27
27.12561259,0,27
27,0,27
26.61889117,0,27
27,0,27
27.05749487,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27.06691307,0,27
27.12167009,0,27
27,0,27
27.4440794,0,27
26.97535934,0,27
27,0,27
26.55865845,0,27
27,0,27
27,0,27
27,0,27
27.48900753,0,27
26.88106776,0,27
27.19405886,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27.04774812,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
27,0,27
26.55206023,1,27
27.03953457,1,27
26.79772758,1,27
26.81689254,1,27
27.37563313,1,27
27,1,27
27,1,27
27.21438741,1,27
26.52041068,1,27
26.59980835,1,27
26.85650924,1,27
26.97809719,1,27
27,1,27
27.25267625,1,27
27.28561259,1,27
26.87712526,1,27
26.93856263,1,27
26.54778919,1,27
26.53127995,1,27
26.93582478,1,27
27.32788501,1,27
26.86464066,1,27
26.63926078,1,27
26.72533881,2,27
26.87438741,2,27
27.09702943,2,27
27.26644764,2,27
27.17763176,2,27
26.51912389,2,27
26.81963039,2,27
27.40566735,3,27
27.2718412,3,27
27,4,27
27.8509514,0,28
28.16668036,0,28
28,0,28
28.41943874,0,28
28,0,28
28,0,28
28,0,28
27.74450376,0,28
28.05749487,0,28
28.43425051,0,28
27.51091034,0,28
28,0,28
27.59980835,0,28
28,0,28
27.8579603,0,28
28.1654757,0,28
27.95619439,0,28
28,0,28
28,0,28
28,0,28
28,0,28
28.05869952,0,28
28,0,28
28,0,28
28,0,28
27.69522245,0,28
28.04227242,0,28
28,0,28
28,0,28
28,0,28
27.52733744,0,28
28,0,28
28.03132101,0,28
28,0,28
27.62839151,0,28
28,0,28
27.87986311,0,28
27.75827515,0,28
28,0,28
28.43425051,0,28
27.96440794,0,28
27.9945243,0,28
28,0,28
28.00273785,0,28
28,0,28
28,0,28
28.36134155,0,28
27.53015743,0,28
27.93976728,0,28
28.091667,0,28
28,0,28
27.5109514,0,28
28,0,28
28.29221081,0,28
28,0,28
27.65842574,0,28
28,0,28
28,0,28
27.63805613,0,28
28,0,28
28,0,28
27.76366872,0,28
28,0,28
27.86069815,0,28
27.87011636,0,28
28.26097194,0,28
28,0,28
28.23077344,0,28
28,0,28
28,0,28
28.18036961,0,28
28.41122519,0,28
28,0,28
28,0,28
27.77196441,0,28
28.39471595,1,28
27.62009582,1,28
27.95067762,1,28
27.67767283,1,28
27.86737851,1,28
28,1,28
28,1,28
28,1,28
28.23633128,1,28
28.31025325,1,28
27.88380561,1,28
27.96167009,1,28
28.30316222,1,28
28,1,28
28.34431211,1,28
28.48626968,1,28
28,1,28
27.90844627,1,28
28.47266256,1,28
27.92487337,1,28
27.95498973,1,28
27.67763176,1,28
27.7445859,1,28
27.77470226,1,28
28.38110883,1,28
28.31411362,2,28
28.41114305,2,28
28.16120465,2,28
28.24728268,2,28
28.06023272,2,28
27.66663929,2,28
27.91939767,3,28
28.43151266,3,28
28.36339493,3,28
28.39753593,3,28
27.88654346,3,28
28.43039014,3,28
28.34157426,4,28
28.83605749,0,29
29.39633128,0,29
28.93976728,0,29
28.52588638,0,29
29,0,29
29,0,29
28.88928131,0,29
28.96988364,0,29
29,0,29
28.68032854,0,29
29,0,29
29,0,29
29,0,29
29,0,29
29.31419576,0,29
29.32386037,0,29
28.62009582,0,29
29.16273785,0,29
29.48361396,0,29
29,0,29
29,0,29
29,0,29
29,0,29
29,0,29
28.72260096,0,29
29.39471595,0,29
29,0,29
28.69957563,0,29
29,0,29
29,0,29
28.96440794,0,29
29,0,29
29.36613279,0,29
29,0,29
29.43312799,0,29
29,0,29
29,0,29
29,0,29
29,0,29
28.75827515,0,29
29,0,29
29,0,29
28.90297057,0,29
28.83605749,0,29
29.19953457,0,29
29,0,29
29,0,29
29.30863792,0,29
29,0,29
29,0,29
29,0,29
28.625,1,29
29.42209446,1,29
29.42209446,1,29
29.19405886,1,29
29,1,29
29,1,29
29.1420397,1,29
29.22811773,1,29
29,1,29
28.703436,1,29
29.34978782,1,29
29.39085558,1,29
28.78830938,1,29
29.15572895,1,29
29,1,29
29.03679671,1,29
29.28681725,1,29
29.33062286,1,29
28.58603696,1,29
28.58603696,1,29
28.57234771,1,29
29.43039014,1,29
28.62557153,2,29
28.91118412,2,29
28.50817248,2,29
28.81021218,2,29
29.32514716,2,29
29.10097194,2,29
29.31017112,2,29
28.72533881,2,29
29.30743326,2,29
29.39085558,2,29
29.23359343,2,29
28.78677618,2,29
29,2,29
28.82780287,3,29
29.30477755,3,29
29.06570842,3,29
28.94524298,3,29
28.5574538,4,29
30,0,30
30,0,30
30,0,30
30.26918549,0,30
30.28399726,0,30
29.61067762,0,30
30,0,30
30,0,30
30.20501027,0,30
30,0,30
29.7089117,0,30
29.87841205,0,30
30,0,30
30,0,30
30.16120465,0,30
30,0,30
30,0,30
30,0,30
29.65303217,0,30
30,0,30
30,0,30
29.85522245,0,30
29.97535934,0,30
30.06965092,0,30
30,0,30
30,0,30
30.02310746,0,30
30,0,30
30,0,30
30,0,30
29.9890486,0,30
29.51207392,0,30
29.70770705,0,30
30,0,30
29.64353183,0,30
29.80481862,0,30
30.16933607,0,30
30,0,30
30,0,30
29.50398357,0,30
30,0,30
30.4315948,0,30
30,0,30
30,0,30
30,1,30
30,1,30
30,1,30
29.83058179,1,30
29.63540041,1,30
29.86190281,1,30
29.94951403,1,30
29.93976728,1,30
30,1,30
30.48361396,1,30
30.06143737,1,30
30.01368925,1,30
29.99178645,1,30
29.67493498,1,30
29.99178645,1,30
30.33062286,1,30
29.84435318,1,30
30.19526352,1,30
29.92603696,1,30
30.40019165,1,30
30.47805613,1,30
30,1,30
30,1,30
30.46710472,1,30
29.58056126,1,30
29.95772758,1,30
30.29382615,1,30
29.69127995,1,30
30.37990418,1,30
29.94798084,1,30
30.21169062,2,30
30.28013689,2,30
29.97535934,2,30
29.8075154,2,30
30.30195756,2,30
29.5449692,2,30
29.98236824,2,30
30,2,30
29.68854209,2,30
30,2,30
30,3,30
30.1420397,3,30
29.62171116,3,30
29.72260096,3,30
29.86464066,4,30
29.62009582,4,30
30.5861191,0,31
31,0,31
31.28835044,0,31
31.48506502,0,31
31,0,31
31,0,31
30.62830938,0,31
30.56421629,0,31
31,0,31
31,0,31
31,0,31
30.54231348,0,31
31.08881588,0,31
31.26370979,0,31
30.57516769,0,31
30.66116359,0,31
30.73234771,0,31
31.4029295,0,31
31.07512663,0,31
31.09976728,0,31
31,0,31
31.26644764,0,31
31,0,31
31.05596167,0,31
31,0,31
31.03285421,0,31
30.81295003,0,31
31.40301164,0,31
31.42757016,0,31
31.13382615,0,31
31,0,31
30.6591102,0,31
30.68306639,0,31
31,0,31
31,0,31
30.61735797,0,31
31.28673511,0,31
31.32788501,0,31
31,0,31
31,0,31
30.53957563,0,31
30.62017796,0,31
31,0,31
31,0,31
31,0,31
31,0,31
31,0,31
31,0,31
31.20617385,1,31
31,1,31
31.00941821,1,31
31.17763176,1,31
30.65842574,1,31
30.94130048,1,31
31,1,31
31.23633128,1,31
31.15025325,1,31
31,1,31
30.93308693,1,31
31.17215606,1,31
31.24180698,1,31
31,1,31
31.10798084,1,31
31.07512663,1,31
30.97809719,1,31
30.99178645,1,31
31,1,31
30.86459959,1,31
30.50825462,2,31
30.7089117,2,31
31.0054757,2,31
30.60246407,2,31
30.88654346,2,31
30.65577002,2,31
31.19953457,2,31
31.08060233,2,31
31.41943874,2,31
31.28561259,2,31
31.4440794,2,31
31.48900753,2,31
31.19252567,2,31
31.1529911,3,31
30.61345654,3,31
31.28835044,3,31
30.85462012,3,31
30.81303217,3,31
31.38264203,3,31
31.42209446,4,31
31.18978782,4,31
30.63258042,4,31
31.33601643,5,31
31.79112936,0,32
32.46710472,0,32
32,0,32
32,0,32
32.4084052,0,32
32.4370705,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
31.55326489,0,32
32.25823409,0,32
32,0,32
31.68580424,0,32
31.78399726,0,32
32,0,32
32.28561259,0,32
32,0,32
31.5970705,0,32
32,0,32
32.40574949,0,32
32,0,32
32,0,32
32,0,32
31.51364819,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32,0,32
32.46872005,0,32
32,0,32
32,0,32
32,0,32
32,1,32
31.51207392,1,32
32.37555099,1,32
32,1,32
31.82510609,1,32
32,1,32
31.56687201,1,32
32.39471595,1,32
32.49062286,1,32
31.58338125,1,32
31.69675565,1,32
31.69522245,1,32
31.72413415,1,32
31.96714579,1,32
32.05322382,1,32
32.18149213,1,32
32.34970568,1,32
32,1,32
32.18862423,2,32
32.33883641,2,32
31.71982204,2,32
31.88376454,2,32
31.61470226,2,32
32.16120465,2,32
31.80594114,2,32
32,2,32
32.27466119,2,32
31.82510609,2,32
32.47805613,2,32
31.85522245,2,32
32.4386037,2,32
31.81842574,2,32
32.27192334,2,32
31.57504449,3,32
32.19679671,3,32
32.27466119,3,32
32.1420397,3,32
31.52459959,3,32
32.34004107,3,32
32.33883641,3,32
32.09155373,4,32
31.90023272,4,32
31.78839151,4,32
31.71164956,4,32
32.18584531,4,32
31.68306639,4,32
32.05475702,5,32
33,0,33
32.57234771,0,33
32.93856263,0,33
32.74724162,0,33
33,0,33
33,0,33
33.09702943,0,33
33,0,33
33,0,33
33.36895277,0,33
33,0,33
33,0,33
33,0,33
33,0,33
32.58056126,0,33
33,0,33
33.14083504,0,33
33,0,33
33,0,33
33,0,33
33.10798084,0,33
33,0,33
32.71318275,0,33
32.62718686,0,33
33.24454483,0,33
32.87285421,0,33
33,0,33
33,0,33
33,0,33
32.58056126,0,33
32.83331964,0,33
33.05048597,0,33
33,0,33
33,0,33
33,0,33
33,0,33
33.14195756,0,33
32.70617385,0,33
33,0,33
33,1,33
32.68854209,1,33
32.72969199,1,33
32.53945243,1,33
32.82510609,1,33
33,1,33
32.77188227,1,33
33.28134155,1,33
32.89081451,1,33
32.54102669,1,33
33.12553046,1,33
33.12714579,1,33
32.72147844,1,33
33,1,33
32.5613963,1,33
33.28835044,1,33
32.55874059,1,33
32.72807666,1,33
33.08607803,1,33
33.08873374,1,33
33.28673511,1,33
33,1,33
32.83879535,1,33
32.81141684,1,33
33.12835044,1,33
32.51091034,1,33
32.76366872,1,33
33.06844627,1,33
32.79386721,1,33
33,1,33
33,1,33
33.43039014,1,33
33.23624914,1,33
32.73089665,2,33
32.91392197,2,33
33.10644764,2,33
33.42209446,2,33
32.68709103,2,33
33.16394251,2,33
33.24180698,2,33
33.11619439,2,33
32.66663929,2,33
33.40566735,2,33
33.35791923,3,33
32.64199863,3,33
32.86190281,3,33
33,3,33
32.62710472,3,33
33.25002053,3,33
32.50551677,4,33
32.74329911,4,33
33.4138809,4,33
32.53837098,4,33
33.08334018,4,33
33.31419576,4,33
33.11731691,4,33
32.73081451,4,33
34.15572895,0,34
34,0,34
34,0,34
33.62283368,0,34
34.06965092,0,34
34.18310746,0,34
34.05596167,0,34
33.93856263,0,34
34,0,34
33.61744011,0,34
34.34431211,0,34
34.34704997,0,34
34.36613279,0,34
34.46984257,0,34
34,0,34
34,0,34
34,0,34
34,0,34
34,0,34
34,0,34
34,0,34
34.34551677,0,34
33.61735797,0,34
34.09976728,0,34
34,0,34
34.32514716,0,34
34,0,34
34,0,34
33.90579055,0,34
34.19679671,0,34
34,0,34
34,0,34
33.5,1,34
33.952778,1,34
34.119444,1,34
34.21322382,1,34
33.99178645,1,34
33.93856263,1,34
34.06023272,1,34
33.83605749,1,34
34.22803559,1,34
33.76640657,1,34
33.9386037,1,34
33.87164956,1,34
33.67493498,1,34
33.97689254,1,34
34.39906913,1,34
34.25823409,1,34
34.07943874,1,34
34.41122519,1,34
34.24450376,1,34
34.3005065,1,34
33.77462012,1,34
33.86069815,1,34
33.96046543,1,34
34,1,34
34.34157426,1,34
34,1,34
34.20774812,1,34
34,2,34
33.99062286,2,34
34.3065024,2,34
34.05869952,2,34
34.12167009,2,34
33.86625599,2,34
34.23786448,2,34
34.31303217,2,34
33.75939767,2,34
34,2,34
34.1310883,2,34
34.19679671,2,34
34.08060233,2,34
33.91665982,2,34
34.46718686,2,34
33.73629021,2,34
34.25815195,2,34
34.4550308,2,34
34.48361396,2,34
34.38110883,3,34
33.59425051,3,34
33.80602327,3,34
33.98631075,3,34
33.75545517,3,34
34.39359343,3,34
33.91939767,3,34
34.23085558,3,34
33.58056126,3,34
34.20887064,3,34
33.8579603,3,34
33.91939767,4,34
34.4480219,5,34
34.00394251,5,34
34.296564,5,34
33.66116359,5,34
35.12835044,0,35
35,0,35
35.29229295,0,35
35.20895277,0,35
35.23077344,0,35
35,0,35
35,0,35
35,0,35
34.54505133,0,35
35.48079398,0,35
35,0,35
35,0,35
35,0,35
35,0,35
35,0,35
34.95071869,0,35
35.28561259,0,35
35,0,35
34.56969199,0,35
35,0,35
34.86464066,0,35
35,0,35
34.91118412,0,35
34.97419576,0,35
35.37716632,0,35
34.51373032,0,35
34.81697467,0,35
35,0,35
35,0,35
34.88542094,0,35
35.11739904,0,35
35.30755647,1,35
34.91392197,1,35
34.82784394,1,35
35,1,35
34.99178645,1,35
35.35244353,1,35
35.08607803,1,35
35.07508556,1,35
35,1,35
35.08060233,1,35
34.76093087,1,35
35.32240931,1,35
34.84821355,1,35
34.78009582,1,35
35.36339493,1,35
34.55318275,1,35
35.00821355,1,35
35.07786448,1,35
35.13382615,1,35
35.28561259,1,35
34.53563313,1,35
35.05869952,1,35
34.7159206,1,35
35.40027379,1,35
34.81025325,2,35
34.96324435,2,35
34.51099247,2,35
34.87832991,2,35
34.64533881,2,35
35.07786448,2,35
34.67879535,2,35
35.02036961,2,35
34.50937714,2,35
